network,algorithm,pges_threads,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,time(s),deltaBDeu,deltas,deltaSHD,deltaSHDemptySHD
mildew,pGES,8,44.18181818181818,-0.6416980110035735,-47.13443898708752,94.36363636363636,6.909090909090909,87.45454545454545,1.336,15.291496257075401,11.560327097823654,35.81818181818182,44.77272727272727
mildew,pGES,16,44.18181818181818,-0.6449361828489079,-47.13443898708752,94.36363636363636,6.909090909090909,87.45454545454545,1.4667272727272727,15.291496257075401,10.61035829516164,35.81818181818182,44.77272727272727
mildew,pGES-jc,2,41.27272727272727,-0.7813907684143507,-47.07900517060518,88.54545454545455,4.0,84.54545454545455,1.4331818181818183,15.34693007355775,10.772908893408095,38.72727272727273,48.40909090909091
mildew,pGES-jc,4,41.27272727272727,-0.7774185403624067,-47.07900517060518,88.54545454545455,4.0,84.54545454545455,1.5243636363636364,15.34693007355775,10.084863484013782,38.72727272727273,48.40909090909091
mildew,pGES-jc,8,41.27272727272727,-0.6621183081636054,-47.07900517060518,88.54545454545455,4.0,84.54545454545455,1.5908181818181817,15.34693007355775,9.666835159866809,38.72727272727273,48.40909090909091
mildew,pGES-jc,16,42.0,-0.6604392561669078,-47.09239105089541,90.0,4.7272727272727275,85.27272727272727,1.6478181818181818,15.333544193267523,9.369189710602454,38.0,47.5
munin,Fges,1,1489.6363636363637,0.0,-186.69733828070383,3224.7272727272725,952.5454545454545,2272.181818181818,12331.844181818182,158.63177211707975,0.01421163651929002,353.3636363636364,19.17328466433187
munin,Fges-faithfulness,1,1489.6363636363637,0.0,-186.5920354423621,3222.0,989.4545454545455,2232.5454545454545,12911.289454545455,158.73707495542146,0.013728782799545524,353.3636363636364,19.17328466433187
munin,GES,1,1468.4545454545455,0.0,-187.0735690869301,3203.090909090909,1015.2727272727273,2187.818181818182,1681.7304545454544,158.2555413108535,0.09415526455734793,374.54545454545456,20.322596556996988
munin,pGES,2,1505.4545454545455,0.0,-186.79249585941926,3292.7272727272725,1038.3636363636363,2254.3636363636365,992.1790909090909,158.53661453836432,0.16068106282070876,337.54545454545456,18.315000246633453
munin,pGES,4,1490.1818181818182,0.0,-186.69802892208128,3280.5454545454545,1031.090909090909,2249.4545454545455,652.9313636363636,158.63108147570227,0.2458505591385516,352.8181818181818,19.143688649928478
munin,pGES,8,1472.8181818181818,0.0,-186.71813185820295,3224.7272727272725,1007.0909090909091,2217.6363636363635,683.4246363636364,158.6109785395806,0.23298940180333502,370.1818181818182,20.08582844176984
munin,pGES,16,1494.6363636363637,0.0,-186.8106250535996,3298.181818181818,1039.8181818181818,2258.3636363636365,805.739909090909,158.51848534418394,0.19932442171854212,348.3636363636364,18.901987865634094
munin,pGES-jc,2,1478.4545454545455,0.0,-186.6266238705043,3227.2727272727275,1004.3636363636364,2222.909090909091,1652.9428181818182,158.70248652727926,0.0963568189095295,364.54545454545456,19.78000295960144
munin,pGES-jc,4,1486.8181818181818,0.0,-186.61168661394092,3237.4545454545455,1027.8181818181818,2209.6363636363635,1605.0270909090907,158.71742378384263,0.09920648239745052,356.1818181818182,19.326197405416067
munin,pGES-jc,8,1481.3636363636363,0.0,-186.6230698592929,3241.818181818182,1021.2727272727273,2220.5454545454545,1201.3112727272726,158.70604053849064,0.13238814059701787,361.6363636363636,19.62215754945001
munin,pGES-jc,16,1476.6363636363637,0.0,-186.63941097207973,3225.6363636363635,1023.2727272727273,2202.3636363636365,1341.7086363636363,158.68969942570382,0.12006291971115145,366.3636363636364,19.878656340946087
pathfinder,Fges,1,394.0,-0.0674737089223235,-29.257147184648474,1040.7272727272727,514.3636363636364,526.3636363636364,22320.98809090909,33.02688356098293,0.0018799065026795412,-186.0,-89.42307692307692
pathfinder,Fges-faithfulness,1,403.0,-0.06725706069833984,-29.214601057916976,1059.090909090909,533.8181818181819,525.2727272727273,22868.785454545457,33.06942968771443,0.001868466590865587,-195.0,-93.75
